Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Студия макияжа,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Обучение мастеров для салонов красоты,"Московская, 47",,350042,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),89615899412,,,,,http://sixpence.tattoo,,,,https://vk.com/sixpence_permanent,,,45.053872,39.002377,https://2gis.com/firm/70000001061534850
Контур,школа-студия красоты,Тату-салоны,"Восточно-Кругликовская, 82",цокольный этаж,350028,Краевая Клиническая Больница м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,89180325669 (единый номер - пн-вс 10:00-21:00),89882444840 (единый номер - пн-вс 10:00-21:00),89882444770 (единый номер - пн-вс 10:00-21:00),,,,,,,https://vk.com/tattoo_kontur,,,45.070323,39.028178,https://2gis.com/firm/3237490513405716
TIFFANY.LAB,студия эстетики тела и косметологии,Услуги массажиста; Услуги косметолога; SPA-процедуры; Парикмахерские; Тату-салоны; Услуги визажиста; Услуги по уходу за ресницами / бровями; Эпиляция,"Красных Партизан, 1/4 к11",,350012,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89284220183,89385258511,89385258832,,,,,,,,,,45.078708,38.898661,https://2gis.com/firm/70000001056246715
Тату-студия Сергея Елисеева,,Тату-салоны,"Красных Партизан, 107",,350012,Славянский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,,89898380309,,,,,http://www.tattookrd.ru,,,,https://vk.com/id168121522,,,45.066128,38.91658,https://2gis.com/firm/70000001028491091
Born to die,тату-студия,Тату-салоны,"улица им. Героя Яцкова, 9 к1",цокольный этаж,350901,Губернский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,89654555651,,,,,,,,,https://vk.com/borntodieman,,,45.06988,39.037019,https://2gis.com/firm/70000001061283418
Ручки & ножки,,Ногтевые студии; Услуги по уходу за ресницами / бровями; Тату-салоны,"улица им. 40-летия Победы, 133",,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),89654646423,,,,,,,,,,,,45.056385,39.034025,https://2gis.com/firm/70000001043496232
Beauty studio by Nadin,,Эпиляция; Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Ногтевые студии,"Черкасская, 71/1",,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89181337585,,,,,,,,,,,,45.067659,39.02769,https://2gis.com/firm/70000001055570255
Sworobev permanent makeup,,Услуги косметолога; Тату-салоны; Обучение мастеров для салонов красоты; Услуги по уходу за ресницами / бровями,"Котлярова, 19",,350086,Московский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89384891246,,,,,http://sworobev.ru,,,,https://vk.com/sworobev,,,45.071418,39.011058,https://2gis.com/firm/70000001060280306
Портал426,,Тату-салоны,"Зиповская, 5 лит Х",,350010,Завод Измерительных Приборов м-н,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,,,,,,,,,,,,,,45.063257,38.991822,https://2gis.com/firm/70000001056049387
Тату-салон,,Тату-салоны,"Героя Аверкиева, 6",цокольный этаж,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,,,,,,,,,,https://vk.com/killkingtattoo,,,45.061258,39.028569,https://2gis.com/firm/3237490513387910
Cheba_tattoo,,Тату-салоны,"Героя Аверкиева, 20",,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (по предварительной записи: пн-вс),89963909099,,,,,,,,,https://vk.com/cheba_tattoo,,,45.060398,39.031636,https://2gis.com/firm/70000001060835619
Tattoo studio,,Тату-салоны,"Героя Сарабеева, 5 к1",,350028,Панорама м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,89960359634,89898190387,,,,,,,,,,,45.053388,39.029534,https://2gis.com/firm/70000001060144300
ni.kush.tattoo,,Тату-салоны,"Восточно-Кругликовская, 76/2",1 кабинет; цокольный этаж,350028,Краевая Клиническая Больница м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: пн-вс),89654600350,,,,,,,,,https://vk.com/ni.kush.tattoo,,,45.070983,39.026638,https://2gis.com/firm/70000001060859230
Dark Angel,тату-салон,Тату-салоны,"Симиренко, 37 к2",цокольный этаж,350062,Фестивальный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89182190055,,,,,http://www.da-tattoo.ru,,,,https://vk.com/dark_angel_ink,,,45.072814,38.948522,https://2gis.com/firm/70000001028544842
Pro брови,студия красоты,Услуги по уходу за ресницами / бровями; Услуги косметолога; Обучение мастеров для салонов красоты; Тату-салоны,"Домбайская, 59",,350022,Губернский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,89276239366,,,,,,,,,https://vk.com/club203220976,,,45.073069,39.037696,https://2gis.com/firm/70000001059297678
Студия эстетической косметологии,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Услуги массажиста; SPA-процедуры; Эпиляция; Обучение мастеров для салонов красоты,"Академика Лукьяненко, 28",48 офис; цокольный этаж; 2 подъезд,350012,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,89034572917,,,,,,,,,,,,45.057132,38.913252,https://2gis.com/firm/70000001037848266
Кабинет косметолога,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Тату-салоны,"Героев-Разведчиков, 34",цокольный этаж,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,89888920839,,,,,,,,,https://vk.com/id567049089,,,45.063333,39.0341,https://2gis.com/firm/70000001061555070
Sysoev tatoo,,Тату-салоны; Украшения для пирсинга,"Сергея Есенина, 108/5",,350024,Музыкальный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Вс: 12:00-20:00,89184511031,,,,,,,,,,,,45.089963,39.009621,https://2gis.com/firm/70000001056670642
Elif,студия красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Парикмахерские; Услуги косметолога; Тату-салоны,"Черкасская, 133",,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,89898032980,89054021253,,,,,,,,,,,45.067476,39.037041,https://2gis.com/firm/70000001046765124
Студия ногтей и пирсинга,,Ногтевые студии; Тату-салоны,"Снесарева, 2",52 кабинет; цокольный этаж,350065,Почтовый м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-17:00 (по предварительной записи: пн-сб),89183589715,89034588940,,,,http://mssg.me/nogti_na_gmr,,,,,,,44.999324,39.07903,https://2gis.com/firm/70000001052778661
Тату салон,,Тату-салоны,"Героя Аверкиева, 6",цокольный этаж,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (по предварительной записи: пн-вс),89284381008,,,,,,,,,,,,45.061212,39.02836,https://2gis.com/firm/70000001059749833
Airo,барбершоп,Барбершопы; Тату-салоны; Услуги по уходу за ресницами / бровями,"Евгении Жигуленко, 9",цокольный этаж,350087,микрорайон им. Петра Метальникова,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,89996363445 (барбер),89996318785 (тату-мастер),89024086861 (колорист),,,,,,,https://vk.com/airobtattoo,,,45.098133,39.005977,https://2gis.com/firm/70000001047210699
Тату-студия,,Тату-салоны; Украшения для пирсинга,"Агрохимическая, 103",,350024,Музыкальный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),89648923314,,,,,,,,,https://vk.com/neveselaya_tattoo,,,45.083943,39.00337,https://2gis.com/firm/70000001057053878
Стиль,студия красоты,Парикмахерские; Услуги по уходу за ресницами / бровями; Эпиляция; Ногтевые студии; Тату-салоны,"Игнатова, 2",магазин Адам и Ева,350061,Гидростроителей м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89898367125,89002937513,,,,,,,,https://vk.com/id565956720,,,45.011392,39.071693,https://2gis.com/firm/70000001045084712
Drug tatto studio,,Тату-салоны,"переулок Шаляпина, 4",,350024,Музыкальный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,,,,,,,,,,,,,45.08367,39.002997,https://2gis.com/firm/70000001054976873
Кассандра,салон красоты,Парикмахерские; Студии загара; Ногтевые студии; Услуги косметолога; Тату-салоны,"Невкипелого, 16",цокольный этаж,350065,Почтовый м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,88612630888,89180040440,,,,,,,,,,,44.999859,39.078349,https://2gis.com/firm/3237490513282180
Ezhovatattoo,студия,Тату-салоны,"Академика Лукьяненко, 103",цокольный этаж; 3 подъезд,350012,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительной записи: пн-вс),89032542667,,,,,,,,,,,,45.057272,38.916255,https://2gis.com/firm/70000001047651595
San Mari,компания,Обучение мастеров для салонов красоты; Услуги по уходу за ресницами / бровями; Тату-салоны; Услуги косметолога,"Московская, 129",интернет-магазин Wildberries,350024,микрорайон им. Петра Метальникова,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89385214693,,,,,http://www.sanmari-beauty.ru,,,,https://vk.com/sanmaribeauty,,,45.093276,39.000389,https://2gis.com/firm/70000001052833901
Rimmer style,тату-студия,Тату-салоны,"Героев-Разведчиков, 21/1",цокольный этаж,350028,Восточно-Кругликовский м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,,,,,,,,,,,,,45.057527,39.033273,https://2gis.com/firm/70000001042726235
Z o n e,школа-салон,Ногтевые студии; Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Косметика / расходные материалы для салонов красоты; Тату-салоны,"Бородинская, 156/2",1 этаж,350910,,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),89054070305,89186963065,89615097975,,,,,,,,,,45.009693,39.100749,https://2gis.com/firm/70000001027691695
Инь-Янь,студия красоты,Услуги косметолога; Услуги по уходу за ресницами / бровями; Ногтевые студии; Тату-салоны; Обучение мастеров для салонов красоты,"Петра Метальникова, 5 к1",,350024,микрорайон им. Петра Метальникова,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89604948356,,,,,,,,,,,,45.092881,39.008179,https://2gis.com/firm/70000001057074456
Angel,парикмахерская,Парикмахерские; Ногтевые студии; Тату-салоны; Услуги по уходу за ресницами / бровями,"Кружевная, 3",,350065,Почтовый м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,89676749320,89132496049,,,,,,,,,,,44.992814,39.066907,https://2gis.com/firm/70000001058793820
Sorry mom tattoo,студия художественной татуировки,Тату-салоны,"Московская, 133 лит1",19/1 кабинет; цокольный этаж; вход со двора,350024,микрорайон им. Петра Метальникова,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,,,,,,,,,,,,,45.094822,39.001351,https://2gis.com/firm/70000001046059668
TIFFANY.LAB,студия эстетики тела и косметологии,Услуги массажиста; Услуги косметолога; SPA-процедуры; Парикмахерские; Тату-салоны; Услуги визажиста; Услуги по уходу за ресницами / бровями; Эпиляция,"Византийская, 4",,350053,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,,,,,,,,,,,,,,45.112546,38.929722,https://2gis.com/firm/70000001057537547
Shulgina_tatuazh,салон красоты,Услуги по уходу за ресницами / бровями; Тату-салоны,"Тюляева, 20",1 этаж; 8 подъезд,350080,Комсомольский м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89182969996,,,,,,,,,,,,45.039646,39.097113,https://2gis.com/firm/3237490513608557
Tatto-piercing,,Тату-салоны,"Уральская, 184/2",305 офис; 3 этаж,350088,Комсомольский м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,89886728372,,,,,,,,,,,,45.042307,39.103918,https://2gis.com/firm/70000001056931948
AIRO,,Тату-салоны,"Евгении Жигуленко, 9",,350087,микрорайон им. Петра Метальникова,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,,,,,,,,,,,https://vk.com/airobtattoo,,,45.097669,39.00602,https://2gis.com/firm/70000001054399051
samaMalina,студия красоты,Услуги косметолога; Услуги массажиста; Тату-салоны,"Западный обход, лит1",,350053,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89186461878,,,,,,,,,,,,45.095254,38.906908,https://2gis.com/firm/70000001056046319
Миндаль,салон красоты,Услуги косметолога; Эпиляция; Услуги массажиста; Центры альтернативной медицины; Тату-салоны; Услуги по уходу за ресницами / бровями; Ногтевые студии; Услуги визажиста; Обучение мастеров для салонов красоты,"Целиноградская, 4/2 к2",,350031,Молодёжный м-н,Прикубанский округ,,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительной записи: пн-вс),89180278443,,,,,,,,,,,,45.146737,38.995038,https://2gis.com/firm/70000001046201109
Студия тату,,Тату-салоны,"Парусная, 20/3",,350061,Гидростроителей м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 14:00-24:00; Вт: 14:00-24:00; Ср: 14:00-24:00; Чт: 14:00-24:00; Пт: 14:00-24:00; Сб: 14:00-24:00; Вс: 14:00-24:00 (по предварительной записи: пн-вс),89002582304,89891228149,,,,,,,,,,,45.003813,39.064942,https://2gis.com/firm/70000001054522918
Кабинет косметолога,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Ленинский переулок, 20/1 к10",,350087,Калинино,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,89181287648,,,,,,,,,,,,45.105233,39.016486,https://2gis.com/firm/70000001056381646
Стиль,ногтевая студия,Ногтевые студии; Услуги подолога; Тату-салоны,"Дорожная 5-я, 68 к3",17 помещение; цокольный этаж,350067,Молодёжный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),89094600060,,,,,,,,,,,,45.140089,38.997181,https://2gis.com/firm/70000001033683517
ЛимонАРТ,студия,Обучение мастеров для салонов красоты; Ногтевые студии; Тату-салоны,"Генерала Петрова, 41 к2",,350087,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89182582009,,,,,,,,,,,,45.112838,39.049761,https://2gis.com/firm/70000001034555608
Студия красоты Светланы Климовой,,Ногтевые студии; Парикмахерские; Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"Новая, 16",,353217,,,,Динской район,Краснодарский край,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00 (по предварительной записи: пн-вс),89182380549,,,,,,,,,https://vk.com/sv_klimova_pm,,,45.154499,39.010712,https://2gis.com/firm/70000001061114387
Студия,,Услуги косметолога; Обучение мастеров для салонов красоты; Услуги по уходу за ресницами / бровями; Тату-салоны,"Целиноградская 2-я, 44 к2",2 этаж,350031,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительной записи: пн-вс),89186864445,,,,,http://tatuajkrd.ru,,,,,,,45.146693,38.998675,https://2gis.com/firm/70000001039769653
Учебный центр и студия красоты,,Обучение мастеров для салонов красоты; Ногтевые студии; Услуги косметолога; Эпиляция; Тату-салоны,"Душистая, 51",цокольный этаж,350067,Молодёжный м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),89604860048,,,,,http://vs-krd.ru,,,,,,,45.142252,38.994517,https://2gis.com/firm/70000001046076185
Tom and Jerry,тату-студия,Тату-салоны; Художественные мастерские,"Целиноградская, 4/2 к2",,350031,Молодёжный м-н,Прикубанский округ,,Краснодар городской округ,Краснодарский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),89181442447 (единый номер),,,,,,,,,,,,45.146209,38.994991,https://2gis.com/firm/70000001046218301
Red & Black,студия красоты,Услуги по уходу за ресницами / бровями; Ногтевые студии; Эпиляция; Услуги косметолога; Парикмахерские; Тату-салоны,"Степная, 270",,350916,,Прикубанский округ,,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89180232312,,,,,,,,,,,,45.051739,38.799111,https://2gis.com/firm/70000001036464030
Helheim tattoo studio,,Тату-салоны,"Ленина, 190",,350916,,Прикубанский округ,,Краснодар городской округ,Краснодарский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,89121593962,,,,,,,,,https://vk.com/idleon98,,,45.047206,38.795714,https://2gis.com/firm/70000001061504540
Лана,студия красоты,Парикмахерские; Тату-салоны; Услуги косметолога,"Лесная (снт Зиповчанка), 23/7",,,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,,,,,,,,,,,,,45.154615,39.058866,https://2gis.com/firm/70000001039816582
Eva.K,салон красоты,Ногтевые студии; Услуги косметолога; Услуги по уходу за ресницами / бровями; Услуги визажиста; Парикмахерские; Обучение мастеров для салонов красоты; Услуги росписи по телу; Услуги подолога; Тату-салоны,"Королёва, 40",вход с ул. Выгонная,353211,,,,Динской район,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89002808758,,,,,,,,,,,,45.227447,38.991205,https://2gis.com/firm/70000001051423995
Эвант,салон красоты,Услуги косметолога; Парикмахерские; SPA-процедуры; Тату-салоны; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Услуги росписи по телу; Ногтевые студии; Услуги массажиста; Студии загара; Услуги визажиста,"Колхозная, 11",1 этаж,353475,,,Геленджик,Геленджик городской округ,Краснодарский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (зимний период: пн-вс 9:00-19:00),89673127260,,,evant-relax@mail.ru,,http://clickvip.ru/evant,,,,https://vk.com/wellnessvgorode,https://youtube.com/evantrelax,,44.552978,38.07829,https://2gis.com/firm/10415102419277812
Мадонна,салон,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Базарная, 13/а",,353240,,,,Северский район,Краснодарский край,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00 (по предварительной записи: пн-вс),89183986220 (косметический кабинет),89184517689 (косметический кабинет),,,,,,,,,,,44.846028,38.675195,https://2gis.com/firm/70000001031667786
Сплетница,салон красоты,Парикмахерские; Ногтевые студии; Услуги визажиста; Тату-салоны; Услуги косметолога,"Ленина, 193г",вход со двора,353290,,,Горячий Ключ,Горячий Ключ городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,89002944499,,,,,,,,,,,,44.634891,39.138521,https://2gis.com/firm/70000001040009562
